##
#  cooling data, log Lamnda, ergs/cm^3/s, = L/n^2,  where n is the total number of particles.  
#
# Format 3
#
# Cooling file formats:
# Format = 0 -> 2 columns: basic total cooling
# 		log(t)  log(total)
# Format = 1 -> 5 columns: cooling components
# 		log(t)  log(total)  log(atomic) log(H2) log(CO)
# Format = 2 -> 7 columns:  cooling components + mu and gamma
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma
# Format = 3 -> 10 columns: 2 plus H ionisation fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII
# Format = 4 -> 4 columns: total and derivatives  must be computed from components and local composition
#           for use when ion fractions are computed (NEQIONISATION),
#           mu and gamma computed too, and each component needs to be multiplied by the 
#           appropriate species fractions to get the correct cooling.  
#  		ie atomic x (fHI+fHII)^2
#  		ie molecular components x (fH2 * abundance wrt H2 )^2 
#           total = atomic*(fH1+fHII)^2 + H2*fH2^2 + CO*fH2^2
# 		log(t)  log(atomic) log(H2) log(CO)
# Format = 5 -> 13 columns: 3 plus xray cooling fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII fxr fsxr fhxr
#
#######
#   Abundances relative to solar ref.
#
#   for He use:			 He/H = 0.0737+0.024*Z/Z_sol
#
#   For Secondary elements  use                  
#	log{N/H}=log[1.1e-5*Z/Z_sol +4.9e-5*(Z/Z_sol)^2]  (Groves et al. ApJ, 2004)
#	log{C/H}=log[6.0e-5*Z/Z_sol +2.0e-4*(z/Z_sol)^2]  (Garnett et al. 1999, ApJ, 513, 168)
#
#   Solar Ref: Asplund, Grevesse & Sauval 2005, ASP Conf. Ser. 336 eds T.G. Barnes & F.N. Bash
#
#######
Solar x 1.0 NEQ Atomic Cooling and EOS, Format 3
3         
663         
2.000846E+00 -2.812678E+01 -2.812678E+01 -6.000000E+01 -6.000000E+01 1.289060E+00 1.666667E+00 0.000000E+00 9.993540E-01 6.456322E-04
2.013764E+00 -2.808375E+01 -2.808375E+01 -6.000000E+01 -6.000000E+01 1.289000E+00 1.666667E+00 0.000000E+00 9.993070E-01 6.927531E-04
2.026684E+00 -2.804133E+01 -2.804133E+01 -6.000000E+01 -6.000000E+01 1.288940E+00 1.666667E+00 0.000000E+00 9.992570E-01 7.425082E-04
2.039608E+00 -2.799948E+01 -2.799948E+01 -6.000000E+01 -6.000000E+01 1.288870E+00 1.666667E+00 0.000000E+00 9.992050E-01 7.950021E-04
2.052544E+00 -2.795820E+01 -2.795820E+01 -6.000000E+01 -6.000000E+01 1.288800E+00 1.666667E+00 0.000000E+00 9.991500E-01 8.503423E-04
2.065483E+00 -2.791747E+01 -2.791747E+01 -6.000000E+01 -6.000000E+01 1.288720E+00 1.666667E+00 0.000000E+00 9.990910E-01 9.086386E-04
2.078424E+00 -2.787726E+01 -2.787726E+01 -6.000000E+01 -6.000000E+01 1.288640E+00 1.666667E+00 0.000000E+00 9.990300E-01 9.700035E-04
2.091371E+00 -2.783757E+01 -2.783757E+01 -6.000000E+01 -6.000000E+01 1.288560E+00 1.666667E+00 0.000000E+00 9.989650E-01 1.034552E-03
2.104323E+00 -2.779837E+01 -2.779837E+01 -6.000000E+01 -6.000000E+01 1.288470E+00 1.666667E+00 0.000000E+00 9.988980E-01 1.102400E-03
2.117281E+00 -2.775965E+01 -2.775965E+01 -6.000000E+01 -6.000000E+01 1.288380E+00 1.666667E+00 0.000000E+00 9.988260E-01 1.173668E-03
2.130240E+00 -2.772140E+01 -2.772140E+01 -6.000000E+01 -6.000000E+01 1.288280E+00 1.666667E+00 0.000000E+00 9.987520E-01 1.248476E-03
2.143202E+00 -2.768360E+01 -2.768360E+01 -6.000000E+01 -6.000000E+01 1.288180E+00 1.666667E+00 0.000000E+00 9.986730E-01 1.326948E-03
2.156167E+00 -2.764623E+01 -2.764623E+01 -6.000000E+01 -6.000000E+01 1.288070E+00 1.666667E+00 0.000000E+00 9.985910E-01 1.409210E-03
2.169136E+00 -2.760929E+01 -2.760929E+01 -6.000000E+01 -6.000000E+01 1.287950E+00 1.666667E+00 0.000000E+00 9.985050E-01 1.495388E-03
2.182109E+00 -2.757276E+01 -2.757276E+01 -6.000000E+01 -6.000000E+01 1.287840E+00 1.666667E+00 0.000000E+00 9.984140E-01 1.585610E-03
2.195083E+00 -2.753664E+01 -2.753664E+01 -6.000000E+01 -6.000000E+01 1.287710E+00 1.666667E+00 0.000000E+00 9.983200E-01 1.680009E-03
